hash,cadical_runtimes,cadical_elimfalse_runtimes,cadical_pripro_runtimes,cadical_stability_runtimes,candy_runtimes,glucose_chanseok_runtimes,glucose_runtimes,glucose_syrup_runtimes,glucose_var_decay099_runtimes,kissat_runtimes,kissat_sweep_runtimes,lingeling_runtimes,lstech_maple_runtimes,march_nh_runtimes,minisat__runtimes,relaxed__runtimes,slime_runtimes,yalsat_runtimes
a3d7585b12914a97d9c11d65897194b9,656.76,1244.15,466.17,684.17,3226.39,2656.49,1555.85,2894.82,3359.71,686.75,627.16,3050.71,1308.75,timeout,timeout,906.32,923.57,timeout
a3eaa99154b0f1668f8593264e6e304d,0.49,0.59,0.50,0.49,timeout,2410.84,2533.35,4115.45,2572.31,0.59,0.58,658.68,2599.83,59.59,2065.26,2566.38,2659.91,0.29
a457b9542414214b9daa00381d3155f5,1185.05,1986.24,776.76,1176.52,2478.57,2312.89,253.38,4623.78,277.88,2478.58,116.68,2972.80,234.68,timeout,timeout,2568.62,989.46,timeout
a45d7a611305683a8db8c385ac7cee31,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
a4aa9ccc565c5cde0cfb5dfd9f4deaf4,1145.84,831.56,1259.61,1428.97,546.05,2596.34,1687.40,2313.47,988.53,613.46,636.19,timeout,387.27,timeout,623.46,825.56,940.84,timeout
a4c67a19959fe1f2c9297d4a1edb456a,840.17,1639.07,2120.10,384.97,3731.88,1977.30,3438.63,timeout,1550.40,668.36,1964.30,2554.77,2166.57,7.89,timeout,277.27,311.88,timeout
a4c890ee215c989c51d15c54b81d9eaf,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
a4efbba2fd80c504dbeebcf96bff9752,timeout,timeout,timeout,timeout,timeout,timeout,timeout,15763.38,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,1118.44,timeout
a50dd9afb48645ce7f66b529043be8af,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
a517589810ff3ef5308a694957939bea,156.18,95.18,214.16,168.46,timeout,202.77,1296.63,2306.49,timeout,60.38,60.99,671.52,1493.60,timeout,75.89,72.19,113.69,timeout
